Date,Location,Operator,Aboard,Fatalities,Summary
"Date:March 09, 2016","Location:Cox's Bazar, Bangladesh",Operator:True Aviation Ltd.,Aboard:4   (passengers:0  crew:4),Fatalities:3   (passengers:0  crew:3),"Summary:The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore. Failure to initiate a rejected take off during take off roll following the indication of engine failure; Failure to adhere to the company SOP following the detection of the engine failure during take off;"
"Date:March 15, 2016","Location:Fatima Pastaza, Ecuador",Operator:Military - Ecuador Army,Aboard:22   (passengers:19  crew:3),Fatalities:22   (passengers:19  crew:3),"Summary:The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed."
"Date:March 19, 2016","Location:	Rostov-on-Don, Russia",Operator:Flydubai,Aboard:62   (passengers:55  crew:7),Fatalities:62   (passengers:55  crew:7),"Summary:At 2237, at Rostov-on-Don, the crew aborted a landing attempt to Runway 22 due to poor weather conditions. The plane was instructed to enter a holding pattern at 15,000 feet where it remained for a little under two hours. During a second landing attempt, at 3.4 miles from the runway and an altitude of 1,500 feet the crew executed a second go around and climbed to 3,975 feet, after which, the plane went out of control in a nose down attitude and hit the runway at high rate of speed and disintegrated. The accident occurred during the second go around, due to an incorrect aircraft configuration and crew piloting, the subsequent loss of PICs situational awareness in nighttime in IMC. This resulted in a loss of control of the aircraft and its impact with the ground."
"Date:March 29, 2016","Location:Magdelen Islands, Quebec, Canada",Operator:Marquise Aviation Corp.,Aboard:7   (passengers:5  crew:2),Fatalities:7   (passengers:5  crew:2),"Summary:The plane crashed while on approach to Iles-de-la-Magdelen Airport in poor weather conditions. Former Canadian cabinet minister Jean Lapierre, his wife, 2 brothers and sister were among those killed. All five were on the way to a funeral for Lapierre's father. The pilot was flying the plane too fast and too high while on approach to land. The pilot's decision to continue an unstable approach."
"Date:April 04, 2016","Location:Near Pigeon Forge, Tennessee",Operator:Smoky Mountain Helicopters,Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:The helicopter crashed in a wooded hillside while on a sightseeing flight..
"Date:April 13, 2016","Location:Kiunga, Papua New Guinea",Operator:Sunbird Aviation,Aboard:12   (passengers:11  crew:1),Fatalities:12   (passengers:11  crew:1),"Summary:While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure. The aircrafts center of gravity was significantly aft of the aft limit. When landing flap was set, full nose-down elevator and elevator trim was likely to have had no effect in lowering the nose of the aircraft."
"Date:April 29, 2016","Location:Sorta, Norway",Operator:	CHC Helikopter Service,Aboard:13   (passengers:11  crew:2),Fatalities:13   (passengers:11  crew:2),Summary:The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.
"Date:May 19, 2016",Location:175 miles off the Egyptian coast,Operator:EgyptAir,Aboard:66   (passengers:56  crew:10),Fatalities:66   (passengers:56  crew:10),"Summary:The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast. Two days after the accident, it is confirmed that ACARS messages reported smoke on board, apparently in the lavatory and also in a technical compartment located under the cockpit.The most likely cause was that a fire broke out in the cockpit while the aircraft was flying at its cruise altitude and that the fire spread rapidly resulting in the loss of control of the aircraft. Probable cause was the pilot smoking in the cockpit along with an oxygen leak which caused the fire."
"Date:July 22, 2016","Location:Bay of Bengal, Indian Ocean",Operator:Indian Air Force,Aboard:29   (passengers:23  crew:6),Fatalities:29   (passengers:23  crew:6),"Summary:The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area."
"Date:July 30, 2016","Location:Near Lockhart, Texas",Operator:Heart of Texas Hot Air Balloon Rides,Aboard:16   (passengers:15  crew:1),Fatalities:16   (passengers:15  crew:1),Summary:The hot air balloon struck power lines and crashed in a field. The pilot was likely impaired by opioids and sedatives when he ignored weather warnings and flew the ride into a power line.
"Date:August 05, 2016","Location:Dubai, United Arab Emirates",Operator:Emirates,Aboard:300   (passengers:282  crew:18),Fatalities:0   (passengers:0  crew:0),"Summary:After being cleared to land, the crew informed Dubai tower they were going around. Immediately after being cleared to go-around, the aircraft impacted the runway, losing an engine and catching fire. The plane slid to a stop and all aboard evacuated the plane safely. One fire fighter was killed while fighting the fire."
"Date:August 31, 2016","Location:Russian Mission, Alaksa",Operator:Hageland Aviiation,Aboard:5   (passengers:4  crew:1),Fatalities:5   (passengers:4  crew:1),Summary:A midair collision occurred between a Cessna 208 and a Piper PA-18 Super Cub just northwest of Russian Mission Airport. Three on the Cessna and 2 on the Piper were fatally injured. Rough terrain complicated removal of the victims.
"Date:October 24, 2016",Location:Malta International Airport,Operator:AE Aviation,Aboard:5   (passengers:3  crew:2),Fatalities:5   (passengers:3  crew:2),"Summary:Shortly after taking off, the plane banked to the right, lost altitude and impacted the ground just past the airport. French ministry officials on board were attempting to trace routes of illicit trafficking both human and drug, leaving Libya."
"Date:November 28, 2016","Location:Near La Union, Colombia",Operator:LAMIA Bolivia,Aboard:77   (passengers:68  crew:9),Fatalities:71   (passengers:64  crew:7),"Summary:The crew of the chartered passenger jet declared an emergency as it approached La Union, reporting they ran out of fuel and had an electrical failure. Soon after the plane impacted mountainous terrain approximately 22 miles south of Medellin. Members of the Brazilian Chapecoense soccer team were among those killed. Among the errors made which caused the crash were the decisions to let the plane take off without enough fuel to make the flight safely and then to not stop midway to refuel. The pilot also did not report the plane's emergency until it was too late. In addition, as the fuel was running out, they extended the flaps and gear just before the engines stopped, but this caused enough drag that they could no longer glide to the airport. Since the captain was part owner of the small airline, he was motivated to cut fuel costs because the company was in financial trouble."
"Date:December 03, 2016","Location:Near Tanjung Pinanga, Indonesia",Operator:Indonesian Police,Aboard:13   (passengers:8  crew:5),Fatalities:13   (passengers:8  crew:5),"Summary:The Indonesian police aircraft crashed in the waters off Kabupaten Lingga, Riau Islands during a 1.5 hour scheduled flight."
"Date:December 07, 2016","Location:Near Havlien, Pakistan",Operator:Pakistan International Airlines,Aboard:48   (passengers:42  crew:6),Fatalities:48   (passengers:42  crew:6),"Summary:While en route, the crew made a mayday call reporting they lost one of two engines. Contact was lost and the plane soon after crashed into mountains near Abbottabad and Havelian.  Fracture of a turbine blade consequent to one procedure anomaly of PIA maintenance."
